#1
double tmy(8761,3)
2840400 289.65 0.0
2844000 289.05 0.0
2847600 288.35 0.0
2851200 287.65 0.0
2854800 287.05 0.0
2858400 286.85 0.0
2862000 286.65 0.0
2865600 286.45 0.0
2869200 286.25 5.0
2872800 286.85 86.0
2876400 288.75 241.0
2880000 291.05 413.0
2883600 292.75 576.0
2887200 294.25 704.0
2890800 295.15 722.0
2894400 296.35 824.0
2898000 297.05 791.0
2901600 297.35 715.0
2905200 298.65 666.0
2908800 298.45 487.0
2912400 298.05 290.0
2916000 297.25 162.0
2919600 296.85 73.0
2923200 294.65 3.0
2926800 293.35 0.0
2930400 292.95 0.0
2934000 292.55 0.0
2937600 292.35 0.0
2941200 292.85 0.0
2944800 292.35 0.0
2948400 291.95 0.0
2952000 291.45 0.0
2955600 291.25 5.0
2959200 291.75 69.0
2962800 292.55 131.0
2966400 293.45 217.0
2970000 294.15 212.0
2973600 295.25 321.0
2977200 296.35 378.0
2980800 296.95 305.0
2984400 299.75 504.0
2988000 300.95 513.0
2991600 302.15 608.0
2995200 302.05 448.0
2998800 301.55 338.0
3002400 301.25 159.0
3006000 300.15 71.0
3009600 298.75 3.0
3013200 297.85 0.0
3016800 296.45 0.0
3020400 294.55 0.0
3024000 293.45 0.0
3027600 293.85 0.0
3031200 293.05 0.0
3034800 292.55 0.0
3038400 292.35 0.0
3042000 291.15 1.0
3045600 290.55 7.0
3049200 290.65 76.0
3052800 292.55 421.0
3056400 293.75 575.0
3060000 294.65 705.0
3063600 295.45 799.0
3067200 295.95 849.0
3070800 295.85 782.0
3074400 296.25 744.0
3078000 296.75 691.0
3081600 296.25 557.0
3085200 295.35 396.0
3088800 294.45 226.0
3092400 293.05 75.0
3096000 291.55 2.0
3099600 290.75 0.0
3103200 290.05 0.0
3106800 289.45 0.0
3110400 288.75 0.0
3114000 287.05 0.0
3117600 286.45 0.0
3121200 286.15 0.0
3124800 285.95 0.0
3128400 286.05 4.0
3132000 286.65 64.0
